event_id_cnty;event_date;year;time_precision;disorder_type;event_type;sub_event_type;actor1;assoc_actor_1;inter1;actor2;assoc_actor_2;inter2;interaction;civilian_targeting;iso;region;country;admin1;admin2;admin3;location;latitude;longitude;geo_precision;source;source_scale;notes;fatalities;tags;timestamp
NIG6402;"07 September 2014";2014;2;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Adamawa;"Mubi North";;Mubi;10.2676;13.2644;1;"This Day (Nigeria)";National;"'Fierce' fighting between Boko Haram and military forces in Mubi. 'Scores' of [Boko Haram] killed in the fighting, soldiers reported injuries. Exact date is not known.";20;;1617065408
NIG6401;"07 September 2014";2014;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Biu;;Buratai;10.9048;12.0886;1;"This Day (Nigeria)";National;"Twenty members of Boko Haram are killed (some sources claim 21) in an attempt to overtake Buratai and target a military commander. The attack took place during the morning hours. A school building was also razed.";20;;1617065409
NIG6389;"06 September 2014";2014;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Konduga;;Kawuri;11.5796;13.5867;1;"Daily Independent (Nigeria)";National;"Military forces launched an attack on Boko Haram in Kawuri, killing 50 of its members. The attack was pre-emptive, as information was gathered that Boko Haram was planning an attack on nearby Konduga. Following the operation soldiers went on patrols in Konduga.";50;;1617065404
NIG6376;"02 September 2014";2014;1;"Strategic developments";"Strategic developments";"Non-violent transfer of territory";"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;;;0;20;;566;"Western Africa";Nigeria;Yobe;Gulami;;Bara;10.9368;11.6848;1;"Daily Leadership (Nigeria)";National;"Boko Haram overtakes Bara without violence. Many residents flee into Cameroon.";0;;1618566596
NIG6375;"02 September 2014";2014;1;"Strategic developments";"Strategic developments";"Non-violent transfer of territory";"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;;;0;20;;566;"Western Africa";Nigeria;Borno;Bama;;Banki;11.2551;14.1482;1;"Daily Leadership (Nigeria)";National;"Boko Haram overtakes Banki during the evening hours without violence. Many residents flee into Cameroon.";0;;1617065404
NIG6372;"01 September 2014";2014;1;"Political violence";Battles;"Non-state actor overtakes territory";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Bama;;Bama;11.5221;13.6856;1;"Daily Leadership (Nigeria)";National;"Boko Haram members reportedly took over Bama town - the second largest town in the state - and hoisted the sects flag, following a gun battle between they and Nigerian soldiers. 'Scores' killed before soldiers fled the city alongside civilians - thousands displaced. Military sources who spoke to journalists in Maiduguri said the soldiers were able to kill about 70 of the militants and injure about 30 others. Some reports have the death total as high as 130. The number of soldiers and civilians killed are not known. Despite several sources reporting the fall a Bama to Boko Haram, Xinhua and This Day (Lagos) reports the military repelled the attack, the latter describing the battle as Boko Harams 'Waterloo.' It is possible Boko Haram retreated, regrouped, and attacked again. A military airstrike was involved in the battle.";70;;1617065404
NIG6369;"01 September 2014";2014;1;"Political violence";Battles;"Armed clash";"Police Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Bauchi;Toro;;Gumau;10.2541;9.0125;1;"Guardian (Nigeria)";National;"Suspected Boko Haram gunmen attack and kill two police at Magama Gumau station in Toro LGA.";2;;1617065405
NIG6361;"28 August 2014";2014;1;"Political violence";Battles;"Non-state actor overtakes territory";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Dikwa;;Dikwa;12.024;13.9165;1;"Daily Trust (Nigeria)";National;"Boko Haram captures Dikwa and Marte town, raising their flag above the cities, with 'very little resistance from military forces.' The initial gunfire caused many of the residences to flee. Casualties not known. The attack occurred during the evening hours.";0;;1617065405
NIG6358;"28 August 2014";2014;2;"Strategic developments";"Strategic developments";"Non-violent transfer of territory";"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;;;0;20;;566;"Western Africa";Nigeria;Borno;Ngala;;"Wulgo Momaduri";12.2822;14.187;1;"Guardian (Nigeria)";National;"Boko Haram reportedly takes over Wulgo. Date(s) unknown, violence unknown.";0;;1617065405
NIG6357;"28 August 2014";2014;1;"Political violence";Battles;"Non-state actor overtakes territory";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Marte;;Marte;12.3611;13.8246;1;"Guardian (Nigeria)";National;"Boko Haram captures Dikwa and Marte town, raising their flag above the cities, with 'very little resistance from military forces.' The initial gunfire caused many of the residences to flee. Casualties not known. The attack occurred during the evening hours.";0;;1617065405
